Age_at_Admission,Gender,Region,Last_Degree,Undergrad_University,Employed,Decision,Cohort,Graduate_Asssitant,GPA1,GPA2,Program
27.88571429,M,Asia,BBA,Balamand,Yes,Conditionally-GPA Probation,FT,0,3.54,3.93,MSBA
22,F,Asia,BBA,AUB,Yes, Unconditionally,FT,0,3.2,3.78,MHRM
35,F,Asia,BBA,NDU,Yes,special not working for a degree,FT,0,2.92,3.93,MHRM
32,M,Asia,BBA,AUB,Yes,Unconditionally,FT,0,3.46,3.93,MHRM
25,M,Asia,BE,AUB,Yes, Unconditionally,PT,0,3.54,3.93,MSBA
27.88571429,M,Asia,BE,AUB,Yes,Conditionally-GPA Probation,FT,0,2.82,3.84,MSBA
24,M,Asia,BA,AUB,Yes,Conditionally-GPA Probation,FT,0,3.02,4,MSBA
27.88571429,F,Asia,BBA,AUB,Yes,Conditionally-GPA Probation,FT,0,3.11,3.83,MHRM
22,M,Asia,BBA,AUB,Yes,Conditionally-GPA Probation,FT,0,2.73,4,MSBA
27.88571429,F,Asia,BS,NDU,Yes, Unconditionally,FT,0,3.94,4,MSBA
27.88571429,M,Asia,BBA,USJ,Yes, Unconditionally,FT,0,3.76,3.68,MSBA
27.88571429,M,Asia,BBA,AUB,Yes, Unconditionally,FT,0,3.2,3.71,MSBA
22,M,Asia,BBA,AUB,Yes, Unconditionally,FT,0,2.92,3.63,MSBA
24,M,Asia,BE,USJ,Yes,Conditionally-GPA probation,FT,0,2.97,3.63,MSBA
27.88571429,F,Asia,BBA,AUB,Yes, Unconditionally,FT,0,3.93,4,MSBA
33,F,Asia,BS,LU,Yes,Unconditionally,FT,0,3.56,4,MHRM
29,M,Asia,BBA,AUB,Yes,Conditionally-GPA probation,PT,0,2.82,3.63,MSBA
31,F,Asia,BE,USJ,Yes,Conditionally-GPA probation,PT,0,2.9,4,MSBA
28,F,Asia,BBA,BAU,Yes,Conditionally-GPA Probation,FT,0,3.21,3.78,MHRM
38,F,Asia,BE,LU,Yes, Unconditionally,PT,0,3.46,3.68,MSBA
27.88571429,F,Asia,BBA,AUB,Yes,Conditionally-GPA Probation,FT,0,3.11,4,MHRM
39,F,Asia,BE,LAU,Yes, Unconditionally,PT,0,3.66,4,MSBA
25,F,Asia,BBA,AUB,Yes,Unconditionally,PT,0,3.38,3.63,MSBA
27,F,Asia,BE,AUB,Yes,special not working for a degree,PT,0,3.7,4,MSBA
26,F,Asia,MFIN,AUB,Yes, Unconditionally,FT,0,3.38,3.63,MSBA
